iter	Passed	Remaining
419	2282	3152
420	2287	3146
421	2292	3140
422	2297	3133
423	2302	3127
424	2307	3121
425	2313	3116
426	2318	3111
427	2323	3105
428	2328	3099
429	2334	3093
430	2338	3087
431	2343	3081
432	2348	3075
433	2353	3069
434	2358	3063
435	2364	3058
436	2370	3053
437	2375	3047
438	2380	3042
439	2385	3036
440	2390	3030
441	2396	3025
442	2402	3020
443	2407	3014
444	2412	3009
445	2417	3003
446	2422	2997
447	2428	2991
448	2433	2985
449	2438	2979
450	2442	2973
451	2448	2968
452	2453	2962
453	2457	2955
454	2462	2949
455	2467	2943
456	2472	2937
457	2477	2931
458	2482	2925
459	2486	2919
460	2491	2913
461	2496	2907
462	2501	2901
463	2506	2895
464	2511	2889
465	2516	2883
466	2521	2877
467	2526	2871
468	2530	2865
469	2535	2859
470	2541	2853
471	2546	2848
472	2551	2843
473	2557	2837
474	2562	2831
475	2567	2825
476	2571	2819
477	2576	2813
478	2581	2807
479	2586	2802
480	2591	2796
481	2596	2790
482	2601	2784
483	2606	2778
484	2611	2772
485	2615	2766
486	2620	2760
487	2625	2754
488	2630	2748
489	2635	2742
490	2639	2736
491	2644	2730
492	2649	2724
493	2654	2718
494	2659	2712
495	2664	2707
496	2669	2701
497	2674	2695
498	2679	2690
499	2684	2684
500	2689	2678
501	2694	2672
502	2699	2667
503	2704	2661
504	2709	2656
505	2714	2650
506	2719	2644
507	2724	2638
508	2729	2633
509	2735	2627
510	2739	2621
511	2744	2615
512	2749	2610
513	2754	2604
514	2758	2598
515	2763	2592
516	2768	2586
517	2773	2580
518	2778	2575
519	2783	2569
520	2788	2563
521	2793	2557
522	2797	2551
523	2802	2545
524	2807	2539
525	2811	2533
526	2816	2528
527	2821	2522
528	2826	2516
529	2831	2511
530	2836	2505
531	2841	2499
532	2846	2493
533	2850	2487
534	2855	2481
535	2860	2476
536	2865	2470
537	2870	2464
538	2875	2459
539	2880	2454
540	2885	2448
541	2891	2443
542	2896	2437
543	2900	2431
544	2905	2425
545	2910	2420
546	2915	2414
547	2920	2409
548	2925	2403
549	2930	2397
550	2935	2392
551	2940	2386
552	2945	2381
553	2950	2375
554	2955	2369
555	2960	2364
556	2965	2358
557	2971	2353
558	2975	2347
559	2980	2342
560	2985	2336
561	2990	2330
562	2995	2325
563	3000	2319
564	3005	2314
565	3010	2308
566	3015	2302
567	3020	2297
568	3025	2291
569	3030	2285
570	3035	2280
571	3039	2274
572	3044	2268
573	3049	2263
574	3054	2257
575	3059	2252
576	3064	2246
577	3070	2241
578	3075	2236
579	3080	2230
580	3085	2224
